age,lx,dx,px,qx,Lx,Tx,mx,e0x,ex,mux
15,1003027.0,974.0,0.9990289394004349,0.0009710605995650878,2005080.0,122448669.0,0.00048576615396891894,122.07913545697174,121.57913545697174,0.0009655721834528362
16,1002053.0,987.0,0.9990150221595065,0.0009849778404934506,2003119.0,120443589.0,0.0004927315850930474,120.19682491844243,119.69682491844243,0.0009784794601961546
17,1001066.0,1001.0,0.9990000659297189,0.0009999340702810944,2001131.0,118440470.0,0.0005002171272145601,118.314346906198,117.814346906198,0.0009926973636440678
18,1000065.0,1017.0,0.9989830661007034,0.0010169338992965793,1999113.0,116439339.0,0.0005087256198123868,116.43177093488923,115.93177093488923,0.001008358977048214
19,999048.0,1033.0,0.9989660156468958,0.0010339843531042003,1997063.0,114440226.0,0.0005172595957163095,114.54927691161986,114.04927691161986,0.0010256108971586247
20,998015.0,1053.0,0.9989449056376908,0.0010550943623092168,1994977.0,112443163.0,0.0005278256340799919,112.66680661112308,112.16680661112308,0.0010446146064072004
21,996962.0,1073.0,0.998923730292629,0.0010762697073709582,1992851.0,110448186.0,0.0005384245987281538,110.78475007071484,110.28475007071484,0.0010655479844250174
22,995889.0,1096.0,0.9988994757447868,0.001100524255213231,1990682.0,108455335.0,0.0005505650827203943,108.90303537844078,108.40303537844078,0.0010886069730416564
23,994793.0,1121.0,0.998873132400409,0.0011268675995910193,1988465.0,106464653.0,0.0005637514364094917,107.02191611722237,106.52191611722237,0.001114007410351379
24,993672.0,1149.0,0.9988436828249161,0.0011563171750839096,1986195.0,104476188.0,0.0005784930482656536,105.1415235610946,104.6415235610946,0.0011419870510134846
25,992523.0,1180.0,0.9988111106745133,0.001188889325486664,1983866.0,102489993.0,0.0005947982373809521,103.26208359907025,102.76208359907025,0.0011728077916973822
26,991343.0,1214.0,0.9987753986259045,0.0012246013740955242,1981472.0,100506127.0,0.0006126758288787326,101.38380661385615,100.88380661385615,0.0012067581225031166
27,990129.0,1251.0,0.9987365282705587,0.0012634717294413012,1979007.0,98524655.0,0.0006321352072024,99.50688748637803,99.00688748637803,0.0012441558273032802
28,988878.0,1292.0,0.9986934687595437,0.0013065312404563212,1976464.0,96545648.0,0.0006536926551659934,97.63150560534262,97.13150560534262,0.0012853509582822086
29,987586.0,1338.0,0.998645181280415,0.0013548187195849826,1973834.0,94569184.0,0.0006778685542958527,95.75792285431345,95.25792285431345,0.0013307291125149157
30,986248.0,1387.0,0.9985936600124918,0.001406339987508165,1971109.0,92595350.0,0.0007036647897198987,93.88647682935732,93.38647682935732,0.001380715041255393
31,984861.0,1443.0,0.9985348186190741,0.001465181380925884,1968279.0,90624241.0,0.0007331277730443702,92.01729076488967,91.51729076488967,0.0014357766257181474
32,983418.0,1502.0,0.9984726738782491,0.0015273261217508827,1965334.0,88655962.0,0.0007642466878403366,90.15084328332408,89.65084328332408,0.0014964292565673156
33,981916.0,1570.0,0.9984010852252128,0.0015989147747872412,1962262.0,86690628.0,0.0008000970308755915,88.28721397757039,87.78721397757039,0.0015632406581065129
34,980346.0,1642.0,0.9983250811448203,0.0016749188551796745,1959050.0,84728366.0,0.000838161353717363,86.42700230326844,85.92700230326844,0.0016368362023250708
35,978704.0,1723.0,0.9982395085746048,0.0017604914253952497,1955685.0,82769316.0,0.0008810212278562243,84.57032565515212,84.07032565515212,0.0017179047625415188
36,976981.0,1811.0,0.998146330378994,0.001853669621005971,1952151.0,80813631.0,0.0009276946301797351,82.71770996570046,82.21770996570046,0.0018072051614359216
37,975170.0,1908.0,0.9980434180706954,0.0019565819293045905,1948432.0,78861480.0,0.0009792489550571946,80.86946891311258,80.36946891311258,0.001905573273826322
38,973262.0,2015.0,0.9979296427888893,0.002070357211110707,1944509.0,76913048.0,0.0010362513107421976,79.0260464294301,78.5260464294301,0.002013929850673111
39,971247.0,2133.0,0.9978038542203992,0.002196145779600811,1940361.0,74968539.0,0.00109927997934405,77.18792336038103,76.68792336038103,0.0021332891375460405
40,969114.0,2261.0,0.9976669411441791,0.002333058855820913,1935967.0,73028178.0,0.0011678918080731749,75.35561141413703,74.85561141413703,0.0022647683682249327
41,966853.0,2403.0,0.9975146170100315,0.0024853829899684765,1931303.0,71092211.0,0.0012442376985900192,73.52949310805262,73.02949310805262,0.0024095982222966726
42,964450.0,2558.0,0.9973477111306962,0.0026522888693037983,1926342.0,69160908.0,0.001327905429046348,71.71020581678677,71.21020581678677,0.002569134344634275
43,961892.0,2728.0,0.9971639227688763,0.002836077231123668,1921056.0,67234566.0,0.0014200523045658222,69.89824845200917,69.39824845200917,0.002744870034583331
44,959164.0,2914.0,0.9969619376874028,0.0030380623125971784,1915414.0,65313510.0,0.0015213421223818975,68.09420495348033,67.59420495348033,0.0029384502236299084
45,956250.0,3119.0,0.9967383006535948,0.003261699346405189,1909381.0,63398096.0,0.001633513688467624,66.29866248366012,65.79866248366012,0.003151686872384476
46,953131.0,3344.0,0.9964915630695046,0.0035084369304954066,1902918.0,61488715.0,0.001757301155383469,64.51234405344071,64.01234405344071,0.003386575931001617
47,949787.0,3588.0,0.9962223108970748,0.003777689102925197,1895986.0,59585797.0,0.0018924190368494282,62.73595764102899,62.23595764102899,0.0036453160217894357
48,946199.0,3857.0,0.995923690471032,0.004076309528967981,1888541.0,57689811.0,0.0020423173232670087,60.97006126618185,60.47006126618185,0.003930329018882707
49,942342.0,4151.0,0.9955950175201784,0.004404982479821573,1880533.0,55801270.0,0.00220735291537027,59.21551835745409,58.71551835745409,0.004244282717610841
50,938191.0,4472.0,0.9952333799833936,0.004766620016606438,1871910.0,53920737.0,0.00238900374483816,57.47309130017236,56.97309130017236,0.004590115805751801
51,933719.0,4822.0,0.9948357053888803,0.005164294611119669,1862616.0,52048827.0,0.002588832051265532,55.7435663192031,55.2435663192031,0.004971065370409358
52,928897.0,5204.0,0.9943976565754868,0.0056023434245131565,1852590.0,50186211.0,0.002809040316529831,54.02774581035357,53.52774581035357,0.005390697197985184
53,923693.0,5620.0,0.9939157274115967,0.006084272588403272,1841766.0,48333621.0,0.0030514191270769467,52.32649917234406,51.82649917234406,0.00585293915086133
54,918073.0,6074.0,0.9933839683772423,0.006616031622757701,1830072.0,46491855.0,0.0033189950996463527,50.64069523883177,50.14069523883177,0.0063621179332074935
55,911999.0,6567.0,0.9927993342097963,0.007200665790203731,1817431.0,44661783.0,0.003613342129632432,48.97130698608222,48.47130698608222,0.006922999590050504
56,905432.0,7103.0,0.9921551259509273,0.007844874049072748,1803761.0,42844352.0,0.003937883123096685,47.31923766776522,46.81923766776522,0.007540834118687811
57,898329.0,7684.0,0.9914463409285462,0.008553659071453779,1788974.0,41040591.0,0.004295199371259727,45.68547937336989,45.18547937336989,0.008221404610019328
58,890645.0,8313.0,0.9906663148617013,0.009333685138298686,1772977.0,39251617.0,0.004688724106404088,44.071001352952074,43.571001352952074,0.008971081379773203
59,882332.0,8993.0,0.9898076914358768,0.010192308564123231,1755671.0,37478640.0,0.005122258099609779,42.47680011605609,41.97680011605609,0.009796881596307773
60,873339.0,9726.0,0.9888634310388063,0.011136568961193749,1736952.0,35722969.0,0.005599463888466693,40.90389757013027,40.40389757013027,0.010706534963121347
61,863613.0,10516.0,0.9878232495342243,0.01217675046577571,1716710.0,33986017.0,0.006125670614139838,39.35329482071252,38.85329482071252,0.01170855607087512
62,853097.0,11364.0,0.986679123241554,0.013320876758445954,1694830.0,32269307.0,0.006705097266392499,37.826070188970306,37.326070188970306,0.01281232409616279
63,841733.0,12272.0,0.9854205549740832,0.014579445025916793,1671194.0,30574477.0,0.007343252788126334,36.32324858357698,35.82324858357698,0.014028170593028015
64,829461.0,13242.0,0.9840354157700001,0.015964584229999912,1645680.0,28903283.0,0.008046521802537553,34.845861348514276,34.345861348514276,0.015367476198981014
65,816219.0,14274.0,0.982512046399312,0.017487953600688,1618164.0,27257603.0,0.008821108367260673,33.39496262645197,32.89496262645197,0.01684277716070756
66,801945.0,15367.0,0.980837838006347,0.01916216199365295,1588523.0,25639439.0,0.00967376613369778,31.971567875602442,31.471567875602442,0.018467882676578645
67,786578.0,16522.0,0.9789950901245649,0.02100490987543513,1556634.0,24050916.0,0.010613927230164574,30.576644655711195,30.076644655711195,0.02025800415431692
68,770056.0,17733.0,0.9769718046479736,0.02302819535202638,1522379.0,22494282.0,0.011648216377130793,29.211228793750063,28.711228793750063,0.02222989759370517
69,752323.0,19000.0,0.9747448901602105,0.025255109839789514,1485646.0,20971903.0,0.012789049342844796,27.876195463916428,27.376195463916428,0.02440202042707578
70,733323.0,20313.0,0.9723000642281777,0.02769993577182228,1446333.0,19486257.0,0.014044483531800768,26.572543067652315,26.072543067652315,0.026794704285648625
71,713010.0,21667.0,0.9696119269014459,0.03038807309855407,1404353.0,18039924.0,0.01542845709020453,25.301081331257627,24.801081331257627,0.029430345308855084
72,691343.0,23048.0,0.9666619897793136,0.03333801022068639,1359638.0,16635571.0,0.016951570932851243,24.062688130204545,23.562688130204545,0.03233361377799259
73,668295.0,24446.0,0.9634203458053704,0.03657965419462961,1312144.0,15275933.0,0.01863057713177822,22.85806866728017,22.35806866728017,0.03553168503643489
74,643849.0,25841.0,0.9598648130229293,0.04013518697707075,1261857.0,13963789.0,0.02047854867865376,21.687987400772542,21.187987400772542,0.03905449385787093
75,618008.0,27216.0,0.95596173512317,0.04403826487683005,1208800.0,12701932.0,0.022514890800794177,20.553021967353175,20.053021967353175,0.0429350146435248
76,590792.0,28547.0,0.9516801175371365,0.04831988246286345,1153037.0,11493132.0,0.024758095360339693,19.453770531760757,18.953770531760757,0.04720957007107517
77,562245.0,29806.0,0.9469875232327544,0.05301247676724563,1094684.0,10340095.0,0.02722794888753284,18.390728241247142,17.890728241247142,0.051918171084307865
78,532439.0,30965.0,0.9418431031536006,0.05815689684639935,1033913.0,9245411.0,0.02994932842511894,17.364263324061536,16.864263324061536,0.057104891405892616
79,501474.0,31988.0,0.9362120468857807,0.06378795311421925,970960.0,8211498.0,0.03294471450935157,16.374723315665417,15.874723315665417,0.06281828007882047
80,469486.0,32843.0,0.9300447723680791,0.06995522763192086,906129.0,7240538.0,0.03624539110877149,15.422266052661847,14.922266052661847,0.06911181589799618
81,436643.0,33491.0,0.9232988963523977,0.0767011036476023,839795.0,6334409.0,0.039879970707136864,14.507066413523175,14.007066413523175,0.076044407985583
82,403152.0,33894.0,0.91592749136802,0.08407250863198001,772410.0,5494614.0,0.043880840486270244,13.629137397309204,13.129137397309204,0.08368094719561422
83,369258.0,34019.0,0.9078720027731288,0.09212799722687115,704497.0,4722204.0,0.04828835325061711,12.788359358497312,12.288359358497312,0.09209291350916148
84,335239.0,33831.0,0.8990839371314197,0.10091606286858035,636647.0,4017707.0,0.053139337812005714,11.984605013139879,11.484605013139879,0.10135904510543518
85,301408.0,33306.0,0.8894986198110203,0.1105013801889797,569510.0,3381060.0,0.05848185282084599,11.217552287928655,10.717552287928655,0.11156607537149615
86,268102.0,32425.0,0.879057224489187,0.120942775510813,503779.0,2811550.0,0.06436354036194443,10.486866938702434,9.986866938702434,0.12280954474917918
87,235677.0,31179.0,0.8677045278071258,0.1322954721928742,440175.0,2307771.0,0.07083319134435168,9.792092567369748,9.292092567369748,0.13519469501832615
88,204498.0,29578.0,0.8553628886346076,0.14463711136539237,379418.0,1867596.0,0.07795623823856539,9.132588093771089,8.632588093771089,0.14883745438705054
89,174920.0,27643.0,0.841967756688772,0.158032243311228,322197.0,1488178.0,0.08579533639357288,8.507763549050996,8.007763549050996,0.1638655226097332
90,147277.0,25410.0,0.8274679685219009,0.17253203147809915,269144.0,1165981.0,0.09441042713194424,7.9169252496995455,7.4169252496995455,0.18041956628973402
91,121867.0,22939.0,0.8117702085059942,0.18822979149400576,220795.0,896837.0,0.10389275119454698,7.359145625969294,6.859145625969294,0.1986545355551622
92,98928.0,20297.0,0.7948305838589681,0.2051694161410319,177559.0,676042.0,0.11431129934275368,6.8336770176289825,6.3336770176289825,0.21874111443213012
93,78631.0,17568.0,0.7765766682351745,0.22342333176482554,139694.0,498483.0,0.1257605910060561,6.339522580152866,5.839522580152866,0.24086731849136037
94,61063.0,14841.0,0.7569559307600348,0.24304406923996524,107285.0,358789.0,0.138332478911311,5.875718520216825,5.375718520216825,0.2652402547225298
95,46222.0,12206.0,0.735926615031803,0.264073384968197,80238.0,251504.0,0.15212243575363293,5.441218467396478,4.941218467396478,0.2920880601092312
96,34016.0,9749.0,0.7133995766698025,0.28660042333019753,58283.0,171266.0,0.16727004443834395,5.034865945437441,4.534865945437441,0.3216620370501131
97,24267.0,7536.0,0.6894548151811102,0.3105451848188898,40998.0,112983.0,0.18381384457778427,4.6558289034491285,4.1558289034491285,0.35423900561429383
98,16731.0,5623.0,0.6639172793018947,0.3360827206981053,27839.0,71985.0,0.20198282984302596,4.302492379415456,3.8024923794154564,0.39012389464876723
99,11108.0,4033.0,0.6369283399351818,0.36307166006481817,18183.0,44146.0,0.22180058296210747,3.974252790781419,3.474252790781419,0.4296525959912351
100,7075.0,2770.0,0.6084805653710247,0.3915194346289753,11380.0,25963.0,0.24340949033391915,3.6696819787985864,3.1696819787985864,0.47319510850453755
101,4305.0,1814.0,0.57862950058072,0.42137049941927995,6796.0,14583.0,0.26692171865803416,3.387456445993031,2.887456445993031,0.5211590013616544
102,2491.0,1128.0,0.5471698113207547,0.4528301886792453,3854.0,7787.0,0.2926829268292683,3.126053793657166,2.626053793657166,0.5739932289985219
103,1363.0,661.0,0.5150403521643434,0.4849596478356566,2065.0,3933.0,0.32009685230024215,2.885546588407924,2.385546588407924,0.6321923334436097
104,702.0,364.0,0.48148148148148145,0.5185185185185186,1040.0,1868.0,0.35,2.660968660968661,2.160968660968661,0.6963010733591471
105,338.0,187.0,0.4467455621301775,0.5532544378698225,489.0,828.0,0.3824130879345603,2.4497041420118344,1.9497041420118344,0.7669195231230234
106,151.0,89.0,0.4105960264900662,0.5894039735099338,213.0,339.0,0.41784037558685444,2.2450331125827816,1.7450331125827816,0.8447086896800855
107,62.0,39.0,0.3709677419354839,0.6290322580645161,85.0,126.0,0.4588235294117647,2.032258064516129,1.532258064516129,0.930396699738014
108,23.0,15.0,0.34782608695652173,0.6521739130434783,31.0,41.0,0.4838709677419355,1.7826086956521738,1.2826086956521738,1.0247856152215296
109,8.0,6.0,0.25,0.75,10.0,10.0,0.6,1.25,0.75,1.128758940779344
110,2.0,,,,,0.0,,0.0,-0.5,1.243289893616059
